Carro ID;Origem (x,y);Destino (x,y);Entrada;Saida;Total
71;(26,13);(17,5);15:55:51;15:55:57;6
75;(14,5);(5,13);15:55:52;15:55:57;5
76;(26,13);(17,5);15:55:52;15:55:58;6
68;(15,5);(15,26);15:55:48;15:55:58;10
70;(17,26);(26,16);15:55:50;15:55:59;9
79;(15,5);(26,15);15:55:53;15:56:00;7
81;(17,26);(26,16);15:55:54;15:56:00;6
77;(5,16);(14,26);15:55:53;15:56:01;8
74;(16,26);(16,5);15:55:52;15:56:02;10
82;(5,16);(14,26);15:55:56;15:56:02;6
73;(16,26);(5,14);15:55:51;15:56:02;11
84;(5,16);(14,26);15:55:57;15:56:03;6
83;(14,5);(5,13);15:55:57;15:56:03;6
78;(5,15);(26,15);15:55:53;15:56:04;11
80;(5,15);(16,5);15:55:54;15:56:04;10
86;(5,15);(26,15);15:55:58;15:56:05;7
87;(5,15);(26,15);15:55:58;15:56:05;7
85;(17,26);(26,16);15:55:57;15:56:07;10
88;(26,14);(5,14);15:55:59;15:56:08;9
91;(26,14);(5,14);15:56:02;15:56:08;6
92;(26,14);(15,26);15:56:02;15:56:09;7
89;(5,16);(14,26);15:56:00;15:56:10;10
90;(5,16);(14,26);15:56:00;15:56:10;10
95;(16,26);(16,5);15:56:03;15:56:10;7
98;(5,16);(14,26);15:56:04;15:56:10;6
94;(16,26);(5,14);15:56:03;15:56:11;8
93;(14,5);(5,13);15:56:02;15:56:11;9
96;(16,26);(5,14);15:56:03;15:56:11;8
100;(16,26);(16,5);15:56:05;15:56:11;6
99;(16,26);(5,14);15:56:05;15:56:12;7
97;(15,5);(15,26);15:56:04;15:56:14;10
104;(17,26);(26,16);15:56:09;15:56:15;6
102;(26,14);(5,14);15:56:08;15:56:16;8
105;(15,5);(15,26);15:56:10;15:56:16;6
108;(26,14);(5,14);15:56:11;15:56:17;6
106;(5,16);(14,26);15:56:10;15:56:17;7
112;(17,26);(26,16);15:56:12;15:56:18;6
113;(5,16);(14,26);15:56:12;15:56:18;6
101;(16,26);(5,14);15:56:07;15:56:18;11
110;(16,26);(5,14);15:56:11;15:56:19;8
107;(14,5);(5,13);15:56:10;15:56:19;9
103;(5,15);(26,15);15:56:08;15:56:20;12
109;(5,15);(26,15);15:56:11;15:56:21;10
111;(5,15);(16,5);15:56:12;15:56:21;9
116;(14,5);(5,13);15:56:16;15:56:21;5
118;(26,13);(17,5);15:56:17;15:56:22;5
117;(15,5);(26,15);15:56:17;15:56:23;6
114;(26,14);(5,14);15:56:14;15:56:24;10
115;(26,14);(5,14);15:56:15;15:56:24;9
123;(26,14);(5,14);15:56:19;15:56:25;6
124;(17,26);(26,16);15:56:19;15:56:25;6
120;(5,16);(14,26);15:56:18;15:56:26;8
122;(26,14);(15,26);15:56:18;15:56:26;8
121;(14,5);(5,13);15:56:18;15:56:27;9
128;(5,16);(14,26);15:56:22;15:56:27;5
119;(5,15);(16,5);15:56:18;15:56:28;10
125;(26,13);(17,5);15:56:20;15:56:29;9
127;(26,13);(17,5);15:56:21;15:56:29;8
131;(14,5);(5,13);15:56:24;15:56:29;5
126;(15,5);(15,26);15:56:21;15:56:31;10
133;(26,13);(17,5);15:56:25;15:56:31;6
129;(15,5);(15,26);15:56:23;15:56:31;8
132;(15,5);(26,15);15:56:24;15:56:31;7
130;(26,14);(5,14);15:56:23;15:56:32;9
134;(15,5);(15,26);15:56:26;15:56:32;6
136;(26,14);(15,26);15:56:26;15:56:33;7
137;(5,16);(14,26);15:56:27;15:56:33;6
138;(17,26);(26,16);15:56:28;15:56:33;5
139;(17,26);(26,16);15:56:28;15:56:34;6
135;(14,5);(5,13);15:56:26;15:56:35;9
140;(26,13);(17,5);15:56:29;15:56:37;8
143;(5,15);(16,5);15:56:31;15:56:37;6
150;(14,5);(5,13);15:56:34;15:56:39;5
148;(17,26);(26,16);15:56:33;15:56:39;6
151;(26,13);(17,5);15:56:34;15:56:39;5
149;(17,26);(26,16);15:56:33;15:56:40;7
141;(26,14);(5,14);15:56:29;15:56:40;11
142;(26,14);(5,14);15:56:30;15:56:41;11
144;(26,14);(5,14);15:56:31;15:56:41;10
153;(17,26);(26,16);15:56:35;15:56:41;6
146;(5,16);(14,26);15:56:32;15:56:41;9
145;(16,26);(16,5);15:56:31;15:56:42;11
147;(26,14);(15,26);15:56:32;15:56:42;10
152;(5,15);(16,5);15:56:34;15:56:44;10
154;(26,13);(17,5);15:56:37;15:56:45;8
155;(26,13);(17,5);15:56:37;15:56:45;8
157;(26,13);(17,5);15:56:39;15:56:46;7
161;(26,13);(17,5);15:56:41;15:56:46;5
156;(15,5);(15,26);15:56:39;15:56:46;7
160;(17,26);(26,16);15:56:40;15:56:47;7
163;(15,5);(26,15);15:56:41;15:56:48;7
166;(17,26);(26,16);15:56:42;15:56:48;6
162;(26,14);(15,26);15:56:41;15:56:49;8
158;(5,16);(14,26);15:56:40;15:56:50;10
159;(16,26);(16,5);15:56:40;15:56:50;10
164;(5,16);(14,26);15:56:42;15:56:50;8
167;(16,26);(16,5);15:56:44;15:56:51;7
168;(17,26);(26,16);15:56:45;15:56:51;6
170;(5,16);(14,26);15:56:46;15:56:51;5
165;(5,15);(16,5);15:56:42;15:56:52;10
172;(5,15);(16,5);15:56:47;15:56:53;6
173;(5,16);(14,26);15:56:47;15:56:53;6
175;(15,5);(26,15);15:56:48;15:56:55;7
169;(17,26);(26,16);15:56:45;15:56:55;10
176;(15,5);(15,26);15:56:49;15:56:55;6
178;(26,13);(17,5);15:56:50;15:56:55;5
174;(17,26);(26,16);15:56:48;15:56:56;8
177;(17,26);(26,16);15:56:50;15:56:56;6
171;(26,14);(5,14);15:56:46;15:56:56;10
179;(17,26);(26,16);15:56:50;15:56:56;6
182;(17,26);(26,16);15:56:52;15:56:57;5
180;(16,26);(16,5);15:56:51;15:56:58;7
183;(17,26);(26,16);15:56:52;15:56:58;6
181;(5,15);(26,15);15:56:51;15:57:00;9
187;(14,5);(5,13);15:56:55;15:57:01;6
188;(14,5);(5,13);15:56:56;15:57:01;5
189;(14,5);(5,13);15:56:56;15:57:01;5
185;(15,5);(15,26);15:56:53;15:57:02;9
190;(14,5);(5,13);15:56:56;15:57:02;6
