Carro ID;Origem (x,y);Destino(x,y);Entrada;Saida;Total
104;(5,16);(14,26);15:56:04;15:56:10;6
99;(26,14);(5,14);15:56:01;15:56:10;9
106;(26,14);(5,14);15:56:04;15:56:11;7
103;(26,14);(15,26);15:56:03;15:56:11;8
105;(17,26);(26,16);15:56:04;15:56:11;7
107;(17,26);(26,16);15:56:05;15:56:11;6
108;(15,5);(15,26);15:56:05;15:56:12;7
111;(14,5);(5,13);15:56:07;15:56:13;6
113;(26,13);(17,5);15:56:08;15:56:13;5
110;(5,16);(14,26);15:56:07;15:56:14;7
109;(26,14);(5,14);15:56:07;15:56:14;7
114;(26,14);(5,14);15:56:08;15:56:15;7
112;(17,26);(26,16);15:56:08;15:56:15;7
115;(5,15);(16,5);15:56:09;15:56:15;6
117;(14,5);(5,13);15:56:11;15:56:16;5
118;(14,5);(5,13);15:56:11;15:56:16;5
119;(26,13);(17,5);15:56:11;15:56:17;6
121;(26,13);(17,5);15:56:12;15:56:17;5
123;(26,13);(17,5);15:56:13;15:56:18;5
116;(26,14);(15,26);15:56:10;15:56:19;9
120;(14,5);(5,13);15:56:12;15:56:19;7
122;(16,26);(16,5);15:56:13;15:56:20;7
124;(15,5);(26,15);15:56:14;15:56:21;7
127;(26,13);(17,5);15:56:15;15:56:21;6
126;(5,16);(14,26);15:56:15;15:56:22;7
125;(5,15);(16,5);15:56:14;15:56:22;8
131;(5,16);(14,26);15:56:17;15:56:22;5
129;(26,14);(15,26);15:56:16;15:56:23;7
132;(17,26);(26,16);15:56:17;15:56:23;6
133;(17,26);(26,16);15:56:17;15:56:24;7
135;(14,5);(5,13);15:56:19;15:56:24;5
136;(14,5);(5,13);15:56:20;15:56:25;5
134;(26,13);(17,5);15:56:18;15:56:25;7
139;(5,16);(14,26);15:56:21;15:56:27;6
137;(26,14);(15,26);15:56:20;15:56:27;7
138;(17,26);(26,16);15:56:21;15:56:27;6
141;(14,5);(5,13);15:56:22;15:56:27;5
143;(17,26);(26,16);15:56:23;15:56:29;6
140;(26,13);(17,5);15:56:22;15:56:29;7
142;(26,13);(17,5);15:56:23;15:56:29;6
144;(15,5);(26,15);15:56:24;15:56:30;6
148;(5,16);(14,26);15:56:25;15:56:31;6
145;(17,26);(26,16);15:56:24;15:56:31;7
146;(14,5);(5,13);15:56:24;15:56:31;7
147;(17,26);(26,16);15:56:25;15:56:32;7
150;(14,5);(5,13);15:56:27;15:56:32;5
149;(5,16);(14,26);15:56:27;15:56:33;6
151;(5,16);(14,26);15:56:28;15:56:34;6
154;(5,16);(14,26);15:56:29;15:56:35;6
152;(17,26);(26,16);15:56:28;15:56:35;7
153;(26,14);(5,14);15:56:29;15:56:35;6
155;(5,16);(14,26);15:56:30;15:56:35;5
156;(14,5);(5,13);15:56:30;15:56:35;5
158;(26,13);(17,5);15:56:31;15:56:37;6
159;(5,16);(14,26);15:56:32;15:56:37;5
162;(26,13);(17,5);15:56:34;15:56:39;5
128;(16,26);(5,14);15:56:16;15:56:39;23
130;(16,26);(5,14);15:56:16;15:56:39;23
160;(15,5);(15,26);15:56:32;15:56:41;9
161;(16,26);(5,14);15:56:33;15:56:41;8
165;(14,5);(5,13);15:56:36;15:56:41;5
164;(15,5);(15,26);15:56:35;15:56:42;7
163;(5,15);(16,5);15:56:34;15:56:42;8
169;(26,13);(17,5);15:56:37;15:56:42;5
166;(5,15);(26,15);15:56:36;15:56:42;6
167;(14,5);(5,13);15:56:36;15:56:43;7
170;(17,26);(26,16);15:56:38;15:56:43;5
171;(5,16);(14,26);15:56:39;15:56:46;7
172;(5,16);(14,26);15:56:39;15:56:46;7
173;(5,15);(26,15);15:56:40;15:56:46;6
175;(26,13);(17,5);15:56:41;15:56:46;5
174;(26,14);(5,14);15:56:41;15:56:47;6
177;(17,26);(26,16);15:56:42;15:56:47;5
176;(26,14);(15,26);15:56:41;15:56:48;7
180;(26,13);(17,5);15:56:43;15:56:49;6
182;(26,13);(17,5);15:56:44;15:56:49;5
179;(5,16);(14,26);15:56:43;15:56:50;7
178;(26,14);(5,14);15:56:42;15:56:50;8
184;(14,5);(5,13);15:56:46;15:56:51;5
185;(17,26);(26,16);15:56:46;15:56:52;6
183;(5,16);(14,26);15:56:46;15:56:53;7
186;(26,14);(5,14);15:56:47;15:56:54;7
188;(26,14);(5,14);15:56:48;15:56:54;6
189;(26,14);(5,14);15:56:49;15:56:55;6
190;(5,16);(14,26);15:56:49;15:56:55;6
187;(17,26);(26,16);15:56:47;15:56:55;8
192;(17,26);(26,16);15:56:50;15:56:56;6
157;(5,15);(16,5);15:56:31;15:56:56;25
193;(16,26);(16,5);15:56:51;15:56:57;6
195;(17,26);(26,16);15:56:52;15:56:59;7
194;(16,26);(16,5);15:56:51;15:56:59;8
198;(14,5);(5,13);15:56:55;15:57:00;5
168;(5,15);(16,5);15:56:36;15:57:00;24
196;(5,15);(26,15);15:56:54;15:57:01;7
197;(16,26);(5,14);15:56:54;15:57:01;7
200;(5,16);(14,26);15:56:56;15:57:01;5
199;(5,15);(16,5);15:56:55;15:57:02;7
202;(17,26);(26,16);15:56:56;15:57:02;6
201;(5,15);(26,15);15:56:56;15:57:02;6
204;(14,5);(5,13);15:56:57;15:57:02;5
